"","PERSONID","VARSTRAT","GCDWORK","WKFTPT","HH_RACE","WKFTPT.1","WKRMHM","DRIVER","DTCOST","DTCONJ","R_SEX","R_AGE","HBHUR","WRKCOUNT","HHFAMINC"
"170307","47507296-4",77,1.8339228064,2,1,2,2,1,-1,-1,1,19,"TC",4,14
"170313","47508426-3",64,3.79589269,2,1,2,2,1,-1,-1,2,17,"TC",3,18
"170316","47508622-2",4,3.2445696142,2,1,2,2,1,-1,-1,1,80,"S",1,7
"170319","47508659-3",64,0.5303176041,2,2,2,2,1,-1,-1,2,24,"TC",2,3
"170329","47510072-2",98,7.6981077134,2,1,2,2,1,-1,-1,2,42,"S",2,18
"170339","47511266-2",54,8.5961360495,2,1,2,2,1,-1,1,1,74,"S",1,5
"170348","47512012-1",36,13.215910541,2,1,2,2,1,-1,-1,2,47,"TC",2,10
"170366","47513886-1",60,1.2948140512,2,1,2,1,1,-1,-1,1,84,"C",1,6
"170386","47516597-2",49,3.5656348964,2,2,2,2,2,-1,-1,1,47,"C",1,6
"170391","47517204-1",54,8.732120646,2,3,2,2,1,2,-1,2,46,"S",1,18
"170441","47525786-1",5,6.1081144754,2,1,2,2,1,-1,3,2,66,"S",1,6
"170467","47530959-1",51,9.2805630141,2,1,2,2,1,-1,-1,2,61,"S",2,17
"170481","47532962-3",44,1.6707314628,2,1,2,2,1,3,-1,2,23,"S",2,12
"170490","47535440-1",14,3.3100765643,2,2,2,2,1,-1,3,2,67,"TC",1,11
"170503","47538919-3",62,13.567441373,2,1,2,2,1,-1,-1,1,17,"TC",3,18
"170507","47539402-1",20,0.2851335091,2,1,2,2,1,3,-1,1,54,"TC",2,16
"170512","47539998-2",9,0.1792183783,2,1,2,2,2,-1,-1,2,81,"TC",1,3
"170525","47542206-1",37,2.4235625388,2,1,2,2,1,3,-1,2,54,"U",1,2
"170526","47542729-1",46,7.3438761775,2,1,2,2,1,-1,-1,2,53,"TC",1,16
"170530","47543614-2",96,519.16230131,2,1,2,-8,1,-1,-1,2,61,"TC",2,14
"170552","47548404-2",16,8.3618442743,2,1,2,2,1,-1,-1,2,59,"U",2,12
"170554","47548776-2",40,0.2138907813,2,1,2,2,1,-1,-1,2,44,"TC",1,8
"170588","47555587-1",35,1.2741067932,2,1,2,2,1,-1,-1,2,81,"S",1,6
"170596","47556605-3",4,0.7750806458,2,1,2,2,1,-1,-1,1,17,"TC",3,-7
"170605","47557983-3",13,6.3284899729,2,3,2,2,1,-1,-1,1,20,"TC",3,12
"170612","47559035-3",29,0.4734953584,2,1,2,2,1,-1,-1,1,16,"TC",3,12
"170624","47562615-1",6,8.9565411268,2,2,2,2,1,-1,-1,1,74,"S",3,1
"170627","47562615-4",6,1.0229350667,2,2,2,2,1,-1,-1,1,19,"S",3,1
"170633","47563171-2",58,4.9339249929,2,1,2,2,1,-1,-1,2,29,"U",2,13
"170634","47563760-1",66,4.7070530486,2,2,2,2,1,-1,3,1,53,"C",1,1
"170639","47564712-3",88,1.0602647501,2,1,2,2,1,2,-1,2,22,"TC",3,18
"170655","47566912-3",60,3.8096400487,2,1,2,2,1,-1,-1,2,22,"TC",4,16
"170661","47567496-2",68,0.0256748849,2,1,2,-1,1,2,-1,2,43,"C",2,18
"170701","47573161-2",21,0.0854166852,2,1,2,2,1,3,-1,1,57,"TC",1,3
"170713","47574515-1",71,5.690523689,2,1,2,2,1,-1,-1,1,61,"TC",2,16
"170722","47575295-3",6,7.7965120734,2,1,2,2,1,-1,-1,1,31,"TC",1,14
"170730","47576162-4",99,3.4627202751,2,3,2,2,1,3,-1,2,20,"U",2,17
"170755","47580066-3",78,1.8981252401,2,1,2,2,1,-1,-1,2,17,"C",3,18
"170802","47590047-2",47,2.450196458,2,1,2,1,1,-1,-1,2,46,"S",2,18
"170808","47590784-1",39,3.1860194153,2,1,2,2,1,-1,3,1,75,"C",1,6
"170810","47590887-1",57,5.167520109,2,1,2,1,1,-1,-1,2,65,"TC",2,12
"170813","47592920-1",46,5.3907041399,2,2,2,2,1,2,-1,2,19,"C",2,3
"170825","47593495-2",48,3.0702889703,2,1,2,2,1,-1,-1,2,66,"TC",2,12
"170852","47597309-2",13,0.5021217103,2,1,2,2,1,3,-1,2,49,"C",2,13
"170858","47598173-2",29,11.464375522,2,1,2,2,1,3,-1,1,69,"TC",2,7
"170861","47598463-3",30,1.7638011366,2,1,2,2,1,-1,2,2,21,"C",2,15
"170868","47599572-1",31,7.9453685666,2,1,2,2,1,1,-1,1,72,"S",1,11
"170876","47600786-3",100,4.7689508886,2,1,2,2,2,3,-1,2,17,"C",2,12
"170877","47601318-1",99,0.3361218602,2,1,2,2,1,3,-1,2,62,"TC",1,5
"170888","47601877-2",49,7.6297175513,2,1,2,2,1,-1,2,2,20,"TC",2,7
"170893","47604391-1",100,5.1670406773,2,1,2,2,1,3,-1,2,58,"TC",3,9
"170971","47618950-3",29,3.8487303925,2,1,2,2,1,-1,-1,1,19,"S",3,13
"170985","47622199-1",71,8.2406843757,2,2,2,2,1,-1,-1,2,43,"C",1,8
"170991","47624027-1",88,5.1046937541,2,1,2,2,1,2,-1,2,34,"C",2,17
"171005","47626478-4",40,14.511895668,2,1,2,2,1,-1,-1,2,28,"U",4,18
"171046","47631191-1",34,19.182785628,2,1,2,2,1,3,-1,1,58,"TC",1,9
"171072","47634820-3",93,53.645327623,2,1,2,2,1,3,-1,2,34,"S",3,18
"171092","47637465-1",96,11.153066463,2,1,2,1,1,-1,1,1,62,"TC",1,17
"171095","47637670-2",57,13.329438295,2,1,2,1,1,3,-1,2,32,"S",2,10
"171137","47643112-1",33,9.0196586892,2,1,2,2,1,-1,-1,2,35,"TC",1,8
"171144","47643541-2",26,0.7447745036,2,97,2,2,1,3,-1,2,34,"S",2,10
"171161","47644762-1",39,0.2093752877,2,1,2,1,1,3,-1,2,54,"S",2,16
"171163","47645004-1",1,5.6270548915,2,2,2,2,1,1,-1,2,68,"S",1,1
"171167","47645862-2",88,27.045528095,2,1,2,2,1,-1,-1,1,66,"S",2,18
"171169","47646140-2",21,2.587669083,2,1,2,2,1,-1,-1,2,59,"C",1,18
"171170","47646476-1",93,68.247373244,2,1,2,2,1,-1,3,2,49,"S",1,7
"171171","47647259-1",73,5.3167164472,2,1,2,2,1,-1,-1,1,65,"S",1,-7
"171177","47648470-1",29,5.7389811171,2,1,2,2,1,-1,-1,1,41,"TC",2,18
"171197","47650446-1",79,2.0577980845,2,1,2,2,1,2,-1,2,65,"C",1,16
"171199","47650615-1",45,0.7249609472,2,1,2,2,1,-1,-1,2,77,"TC",2,12
"171207","47651005-3",22,1.0132956807,2,1,2,2,1,-1,2,1,19,"C",3,13
"171209","47651742-1",44,6.4968387699,2,1,2,2,1,-1,-1,1,72,"TC",1,6
"171220","47653278-3",70,1.4699993185,2,1,2,2,1,-1,-1,2,19,"TC",3,13
"171226","47653625-1",50,3.5224135374,2,1,2,2,1,-1,-1,2,61,"TC",1,12
"171242","47657043-2",54,2.0065385194,2,1,2,1,1,-1,3,1,66,"S",1,6
"171243","47657100-1",53,11.776048444,2,1,2,2,1,-1,-1,2,53,"TC",1,6
"171244","47657557-1",85,4.4941608557,2,1,2,1,1,2,-1,1,84,"TC",1,17
"171247","47658143-1",96,1.8873571278,2,1,2,2,1,-1,2,2,40,"TC",2,14
"171261","47659953-1",17,5.8428357814,2,2,2,2,1,-1,-1,2,50,"S",1,8
"171295","47664591-3",36,1.9583687222,2,1,2,2,1,2,-1,1,18,"TC",2,8
"171306","47665909-1",93,4.0746599055,2,1,2,2,1,3,-1,2,39,"S",2,15
"171319","47668348-1",88,9.9199332345,2,1,2,2,1,3,-1,2,71,"S",1,-7
"171324","47668786-1",75,11.396129861,2,1,2,2,1,3,-1,1,73,"TC",1,18
"171340","47670471-1",14,6.2373276955,2,1,2,1,1,-1,-1,2,36,"S",2,9
"171347","47670882-1",65,3.2284077392,2,1,2,2,1,3,-1,2,61,"TC",2,6
"171348","47670882-2",65,8.0267892755,2,1,2,2,1,-1,-1,1,60,"TC",2,6
"171352","47670976-1",73,0.3662561406,2,1,2,2,1,2,-1,2,72,"TC",1,4
"171355","47671058-2",30,17.01493294,2,1,2,2,1,3,-1,2,37,"TC",2,11
"171402","47681879-2",8,4.0456295437,2,1,2,2,1,-1,-1,2,56,"S",3,18
"171418","47683293-2",94,1.8392911357,2,1,2,2,1,3,-1,1,62,"TC",1,7
"171431","47686753-1",85,1.8608200582,2,1,2,2,1,-1,3,2,56,"TC",3,8
"171454","47690826-1",23,0.6056740683,2,1,2,2,1,-1,-1,2,49,"U",1,17
"171464","47691926-1",86,10.659601932,2,1,2,2,1,3,-1,2,73,"TC",1,14
"171474","47693751-3",5,3.5003782743,2,1,2,2,1,3,-1,2,63,"TC",2,16
"171481","47694253-2",3,0.9879687437,2,1,2,2,1,3,-1,1,78,"TC",1,6
"171488","47695586-1",75,5.0320842946,2,1,2,2,1,2,-1,1,68,"TC",1,8
"171492","47697713-1",26,5.5188596072,2,1,2,2,1,-1,-1,2,74,"S",1,16
"171535","47703614-2",16,2.4527551459,2,1,2,2,1,-1,-1,1,71,"C",1,8
"171536","47704116-1",99,1.3712990086,2,1,2,2,1,-1,-1,2,60,"C",2,18
"171547","47705814-1",18,0.6242940042,2,1,2,2,1,-1,-1,2,58,"S",2,18
"171550","47706811-2",97,16.907832603,2,7,2,2,2,2,-1,2,28,"TC",1,8
"171557","47707500-3",66,5.1723254623,2,1,2,2,1,-1,2,1,20,"C",3,18
"171561","47708169-1",54,0.4515471971,2,1,2,2,1,-1,-1,2,37,"S",2,10
"171586","47712492-2",3,9.1782607873,2,1,2,2,1,2,-1,1,18,"TC",3,18
"171609","47715091-1",32,2.432498176,2,1,2,2,1,-1,-1,1,69,"C",2,18
"171640","47717479-2",89,2.8936846951,2,1,2,2,1,2,-1,2,43,"TC",1,18
"171672","47724039-1",80,1.3550134347,2,1,2,2,1,2,-1,2,53,"TC",2,17
"171707","47728653-1",34,10.463453442,2,1,2,2,1,-1,-1,2,58,"S",1,17
"171733","47735026-1",91,12.169576544,2,1,2,1,1,-1,-1,2,39,"TC",2,18
"171766","47740011-3",88,5.2251696257,2,2,2,2,1,3,-1,1,31,"TC",1,4
"171770","47740178-1",36,4.7024160729,2,1,2,2,1,-1,-1,2,78,"S",1,6
"171819","47747702-3",19,17.900426221,2,1,2,2,1,-1,-1,2,20,"TC",3,16
"171822","47748437-2",55,5.2679686589,2,1,2,2,1,3,-1,2,64,"TC",1,17
"171829","47749751-1",42,18.543904287,2,1,2,2,1,-1,-1,1,76,"TC",1,11
"171835","47750289-1",78,14.011801529,2,1,2,1,1,-1,-1,2,66,"TC",2,18
"171836","47750289-2",78,14.011801529,2,1,2,1,1,-1,3,1,72,"TC",2,18
"171867","47756290-1",52,2.5441954452,2,1,2,2,1,-1,-1,2,64,"TC",1,-8
"171876","47757596-1",32,3.2284987929,2,1,2,1,1,-1,-1,2,68,"S",2,18
"171936","47767960-2",72,1.2827827538,2,1,2,2,1,-1,-1,1,19,"S",2,18
"171943","47770148-3",18,1.0764482056,2,1,2,2,1,-1,3,1,18,"C",3,18
"171998","47778014-2",27,0.1576969268,2,7,2,2,2,3,-1,2,17,"C",1,6
"172000","47778322-1",19,0.7467220374,2,1,2,2,2,-1,-1,2,70,"TC",1,10
"172021","47781171-1",27,2.2160006004,2,1,2,2,1,-1,-1,2,66,"TC",1,3
"172024","47781443-2",62,3.4624751209,2,1,2,1,1,-1,-1,1,29,"TC",2,17
"172056","47786372-2",51,8.7914374529,2,1,2,2,1,-1,2,2,67,"S",1,7
"172061","47788394-2",49,1.5493540922,2,1,2,2,1,3,-1,1,65,"TC",2,7
"172062","47788406-1",92,0.5772780997,2,1,2,2,1,-1,-1,2,23,"C",2,17
"172076","47790472-1",42,4.9284407323,2,1,2,2,1,-1,-1,2,61,"S",2,16
"172084","47791170-1",45,6.7045268697,2,2,2,2,1,-1,-1,2,60,"S",1,15
"172099","47794322-1",19,11.268175386,2,1,2,2,1,3,-1,2,25,"TC",1,9
"172130","47796933-2",46,12.285154694,2,1,2,2,1,2,-1,2,58,"TC",2,12
"172162","47801471-4",3,4.1939751798,2,1,2,2,1,-1,-1,1,18,"TC",4,2
"172166","47802003-1",20,70.752733604,2,1,2,2,1,-1,-1,1,65,"TC",2,18
"172167","47802003-2",20,19.903104152,2,1,2,2,1,-1,3,2,52,"TC",2,18
"172169","47802339-2",95,5.8098600202,2,7,2,2,2,-1,3,2,57,"U",2,2
"172172","47802375-3",38,3.033688541,2,1,2,1,1,-1,-1,2,42,"S",2,18
"172203","47807893-1",45,5.1761118792,2,1,2,2,1,-1,-1,2,65,"S",1,5
"172206","47808519-1",34,0.6314581173,2,1,2,2,1,-1,-1,2,60,"C",1,10
"172209","47808537-3",47,1.2309167136,2,1,2,2,1,2,-1,2,22,"C",3,14
"172210","47808537-5",47,1.9300594221,2,1,2,2,1,3,-1,2,16,"C",3,14
"172222","47810343-2",61,1.5420339926,2,1,2,2,1,-1,-1,2,58,"C",2,4
"172223","47810370-1",94,9.9607182333,2,1,2,2,1,-1,-1,2,57,"TC",1,8
"172243","47813296-1",37,12.038248798,2,1,2,2,1,-1,3,2,71,"TC",1,14
"172244","47813308-1",64,16.754241132,2,2,2,2,1,-1,3,2,72,"C",1,6
"172251","47815487-2",54,2.554481735,2,1,2,2,1,-1,-1,1,76,"S",1,-7
"172252","47815526-1",81,6.7521542246,2,1,2,2,1,3,-1,2,55,"U",3,17
"172259","47815982-2",5,3.65930762,2,1,2,2,1,-1,2,2,61,"C",1,16
"172262","47816831-1",70,4.7668177237,2,1,2,2,1,3,-1,2,63,"TC",2,3
"172274","47817726-3",68,5.8947502641,2,1,2,2,2,-1,-1,1,18,"U",2,7
"172304","47820913-2",50,0.6455808659,2,1,2,2,1,-1,-1,1,72,"TC",2,18
"172309","47822805-1",46,6.2662663738,2,1,2,2,1,-1,-1,2,35,"TC",1,17
"172311","47823295-2",95,3.8845697039,2,1,2,2,1,2,-1,2,49,"C",2,17
"172324","47826894-1",49,3.1460427786,2,1,2,2,1,-1,-1,2,69,"C",1,-7
"172333","47828227-2",69,1.9270566585,2,1,2,2,1,-1,-1,1,22,"S",2,15
"172348","47830350-1",26,1.0612055435,2,1,2,2,1,-1,2,2,68,"TC",2,12
"172349","47830350-2",26,1.0612055435,2,1,2,2,1,2,-1,1,72,"TC",2,12
"172350","47830378-1",21,8.1673364885,2,1,2,2,1,-1,-1,2,72,"TC",1,9
"172357","47830873-3",50,0.3706142316,2,7,2,2,1,-1,-1,1,17,"TC",2,1
"172361","47831197-2",95,3.0737895074,2,1,2,2,1,-1,-1,2,46,"U",2,12
"172364","47832381-1",75,15.076532452,2,1,2,2,2,3,-1,1,41,"TC",1,1
"172380","47835300-1",47,15.783205186,2,1,2,2,1,-1,-1,2,59,"TC",1,4
"172389","47836101-3",83,4.3170676004,2,1,2,2,1,-1,-1,1,20,"U",4,17
"172390","47836101-4",83,1.786230212,2,1,2,2,2,-1,-1,1,16,"U",4,17
"172402","47836820-2",82,2.8968910207,2,1,2,2,1,-1,-1,1,59,"S",2,18
"172408","47837359-1",98,4.2491746555,2,-9,2,2,1,3,-1,1,62,"U",2,6
"172419","47840984-2",66,0.9743793263,2,1,2,2,1,2,-1,2,18,"S",2,11
"172422","47841299-1",81,3.0522470824,2,1,2,2,1,-1,-1,2,38,"S",2,12
"172435","47842755-3",92,2.2346459725,2,1,2,2,1,-1,-1,2,16,"S",3,12
"172439","47843378-2",77,4.7049100226,2,1,2,2,1,2,-1,2,64,"TC",2,18
"172457","47845671-1",70,0.7023306245,2,1,2,2,1,3,-1,1,20,"S",3,-7
"172458","47845671-2",70,5.3201761535,2,1,2,2,1,-1,2,2,54,"S",3,-7
"172464","47846128-3",28,4.8740543934,2,1,2,2,1,2,-1,2,17,"TC",3,11
"172469","47847974-1",43,6.6120625784,2,1,2,2,1,3,-1,2,64,"TC",1,4
"172476","47849464-1",72,0.0801888913,2,3,2,2,1,3,-1,2,58,"U",2,17
"172481","47849558-3",45,8.3999981338,2,1,2,2,1,-1,-1,2,52,"C",2,18
"172513","47855559-3",27,10.234498373,2,1,2,2,1,-1,-1,2,19,"TC",2,-7
"172527","47857302-1",92,0.8755520744,2,1,2,2,1,-1,-1,2,41,"S",2,18
"172538","47860393-1",48,3.1619491688,2,1,2,2,1,-1,-1,2,57,"C",2,8
"172544","47860731-4",69,2.3818954431,2,1,2,2,1,3,-1,2,52,"C",3,12
"172549","47861073-1",18,1.0110088044,2,1,2,1,1,3,-1,2,72,"C",1,6
"172564","47863620-4",16,2.8308935419,2,1,2,2,1,-1,-1,2,18,"TC",4,11
"172565","47863796-1",47,3.8092614833,2,1,2,2,1,-1,-1,1,79,"C",1,8
"172570","47864887-1",90,10.181160883,2,1,2,2,1,-1,-1,2,66,"S",1,12
"172589","47869640-1",45,0.5794945743,2,1,2,2,1,-1,-1,1,53,"TC",1,8
"172594","47870271-1",32,18.873680822,2,1,2,2,1,3,-1,2,55,"TC",2,8
"172595","47870271-2",32,0.0515634273,2,1,2,2,1,3,-1,1,57,"TC",2,8
"172625","47876778-2",43,1.8310335754,2,1,2,2,1,-1,-1,2,60,"TC",1,12
"172626","47876787-1",5,1.2739252437,2,1,2,2,1,-1,-1,2,69,"TC",1,12
"172637","47879340-2",19,25.911897011,2,1,2,2,1,-1,-1,1,53,"TC",2,17
"172646","47882489-3",17,4.2561633757,2,1,2,2,1,2,-1,2,65,"TC",3,4
"172678","47888306-1",29,9.7040759367,2,1,2,2,1,1,-1,1,73,"TC",2,10
"172685","47888995-3",20,2.7153643139,2,1,2,2,1,2,-1,1,17,"TC",3,17
"172708","47891735-2",97,7.9282214815,2,1,2,2,1,-1,-1,2,39,"C",2,18
"172709","47891959-1",5,4.3980119873,2,2,2,2,1,3,-1,2,68,"S",1,5
"172749","47897447-2",41,4.0043584444,2,1,2,1,1,-1,2,2,43,"S",2,18
"172761","47899496-1",2,1.4076620351,2,2,2,2,1,-1,-1,2,40,"TC",1,2
"172776","47901540-3",74,7.5892096029,2,1,2,2,1,3,-1,2,23,"TC",3,18
"172815","47906602-1",98,9.1512374908,2,1,2,2,1,-1,3,2,36,"TC",1,15
"172844","47912340-1",25,2.5925916751,2,1,2,2,1,1,-1,2,64,"S",1,13
"172848","47912957-1",7,6.9653931844,2,1,2,2,1,2,-1,2,58,"TC",2,13
"172872","47918838-1",29,4.1201876938,2,1,2,2,1,-1,1,2,57,"S",1,17
"172880","47919705-1",58,4.3950855647,2,7,2,2,2,3,-1,2,32,"U",1,2
"172890","47921089-2",97,4.0106818812,2,1,2,2,1,-1,-1,2,66,"S",1,17
"172899","47922367-1",25,8.3189141665,2,1,2,2,1,-1,3,1,67,"S",2,18
"172900","47922367-3",25,8.3189141665,2,1,2,2,1,-1,2,2,58,"S",2,18
"172927","47926589-1",20,1.8138249847,2,1,2,2,1,-1,-1,2,65,"S",1,8
"172933","47927401-1",92,6.0811102144,2,1,2,2,1,-1,-1,2,23,"S",2,4
"172944","47928190-1",44,3.703825117,2,1,2,2,1,-1,-1,2,33,"S",1,10
"172958","47929786-3",45,6.2840270327,2,2,2,2,2,-1,-1,2,25,"U",3,15
"172979","47931604-1",61,3.1059711258,2,1,2,1,1,-1,3,1,74,"TC",2,17
"172980","47931604-2",61,3.1059711258,2,1,2,2,1,2,-1,2,65,"TC",2,17
"173012","47938993-2",98,1.1402048776,2,1,2,2,1,-1,-1,2,55,"TC",2,18
"173021","47939299-2",44,6.9670093929,2,1,2,2,1,-1,-1,2,76,"TC",2,10
"173036","47940606-1",82,5.859677566,2,1,2,2,1,-1,3,2,61,"TC",2,18
"173038","47940615-1",4,5.4912584341,2,2,2,1,1,-1,3,2,27,"C",1,8
"173039","47940651-1",46,46.976546603,2,1,2,1,1,-1,1,1,67,"TC",2,12
"173040","47940651-2",46,46.976546603,2,1,2,2,1,-1,-1,2,55,"TC",2,12
"173058","47944985-2",63,0.5431341306,2,1,2,2,1,1,-1,1,61,"TC",1,6
"173064","47946233-1",26,7.0464582228,2,1,2,2,1,3,-1,2,18,"TC",3,-8
"173065","47946233-2",26,4.7237765795,2,1,2,2,1,-1,-1,2,46,"TC",3,-8
"173066","47946233-3",26,4.7315618554,2,1,2,2,2,-1,-1,2,16,"TC",3,-8
"173083","47949421-1",44,16.519997625,2,1,2,2,1,2,-1,1,76,"C",1,16
"173085","47949560-1",73,8.0039069559,2,1,2,2,1,2,-1,2,37,"TC",2,7
"173118","47954555-1",30,1.1459975023,2,2,2,2,1,-1,-1,2,67,"TC",1,2
"173140","47959233-1",4,12.789682856,2,1,2,2,1,2,-1,1,57,"TC",2,8
"173141","47959233-2",4,12.789682856,2,1,2,2,1,-1,-1,2,54,"TC",2,8
"173149","47960752-2",93,0.0989408668,2,1,2,2,1,3,-1,2,60,"TC",2,11
"173151","47961740-2",99,2.5529505762,2,-7,2,2,1,-1,-1,2,55,"U",2,17
"173154","47962194-2",18,6.3272117816,2,1,2,1,1,-1,-1,2,36,"TC",2,15
"173165","47963427-4",54,4.741151966,2,1,2,2,1,2,-1,1,21,"TC",2,17
"173181","47965579-2",54,0.1000538072,2,6,2,-1,1,-1,-1,2,56,"TC",2,18
"173202","47967573-2",21,7.4653744146,2,1,2,1,1,-1,-1,2,40,"TC",2,17
"173218","47969036-2",54,2.8125017599,2,1,2,2,1,-1,-1,2,54,"TC",2,18
"173237","47972700-1",17,0.9977163624,2,1,2,2,1,-1,-1,2,38,"C",3,7
"173241","47972849-1",49,4.7409174591,2,1,2,2,1,-1,-1,1,68,"TC",2,5
"173250","47973930-1",8,7.1230980491,2,1,2,2,1,2,-1,2,36,"TC",2,12
"173254","47974496-2",56,10.175358517,2,1,2,2,1,-1,-1,2,22,"S",3,8
"173299","47985492-1",16,11.822824682,2,1,2,1,1,-1,-1,1,54,"TC",2,16
"173307","47987049-1",21,7.799666236,2,1,2,2,1,-1,-1,2,62,"TC",2,12
"173311","47987469-2",14,5.3446081194,2,1,2,2,1,-1,-1,1,64,"S",1,18
"173352","47993862-1",77,9.6485434421,2,1,2,2,1,-1,-1,2,71,"U",1,-7
"173378","47996890-2",81,2.0765390663,2,1,2,2,1,-1,2,2,70,"TC",1,7
"173395","47999985-2",58,5.1355833679,2,1,2,2,1,3,-1,1,69,"C",1,2
"173409","48002800-2",94,9.289005997,2,2,2,2,1,-1,-1,1,19,"S",2,6
"173417","48003281-2",43,2.6045855099,2,1,2,2,1,-1,-1,2,58,"S",2,18
"173422","48003786-3",3,2.8438156184,2,1,2,2,1,2,-1,2,17,"TC",1,18
"173462","48010560-1",84,51.821401688,2,1,2,2,1,3,-1,1,60,"TC",2,18
"173521","48017402-1",66,13.482246129,2,1,2,2,1,2,-1,2,51,"C",2,17
"173532","48018119-2",41,7.0427477132,2,1,2,2,1,3,-1,1,63,"S",1,18
"173541","48019527-2",85,18.315234552,2,1,2,2,1,3,-1,1,65,"TC",2,6
"173542","48019527-3",85,0.6626801802,2,1,2,2,1,3,-1,1,19,"TC",2,6
"173545","48020073-1",86,9.2330053377,2,5,2,2,1,3,-1,1,62,"S",1,17
"173552","48021892-1",94,3.4710215815,2,1,2,2,1,-1,-1,2,47,"TC",3,14
"173554","48021892-3",94,3.3595662197,2,1,2,2,1,-1,-1,2,17,"TC",3,14
"173581","48025582-1",72,4.8750995432,2,1,2,2,1,3,-1,1,75,"C",1,14
"173595","48027634-3",42,2.3089292467,2,1,2,2,1,3,-1,2,49,"TC",2,16
"173603","48028828-1",81,5.1545593851,2,1,2,2,1,-1,-1,1,61,"C",2,15
"173615","48031819-1",26,1.2014297867,2,1,2,2,1,-1,-1,2,66,"TC",1,4
"173657","48036579-4",15,3.4780486125,2,1,2,2,1,2,-1,1,24,"S",4,18
"173670","48041117-1",27,4.1007608638,2,1,2,1,1,-1,3,2,64,"S",1,5
"173688","48042815-1",44,9.6579852821,2,1,2,2,1,-1,3,2,29,"S",2,18
"173692","48043018-1",24,4.0085519522,2,3,2,2,1,-1,-1,1,61,"S",1,-7
"173698","48043803-5",66,3.7118935113,2,7,2,2,1,-1,-1,2,16,"C",3,3
"173703","48044211-2",15,5.3590630998,2,1,2,2,1,3,-1,2,59,"S",1,3
"173712","48044396-1",49,0.0249391034,2,1,2,2,1,2,-1,2,59,"TC",1,15
"173718","48045030-3",65,2.3516120021,2,1,2,2,1,3,-1,1,19,"S",3,16
"173721","48046327-1",96,2.4053372249,2,1,2,2,1,3,-1,2,42,"C",4,14
"173724","48046327-4",96,0.513427096,2,1,2,2,1,-1,-1,2,17,"C",4,14
"173750","48047708-3",38,4.0759186905,2,7,2,2,1,-1,-1,2,18,"S",2,10
"173752","48047726-1",60,4.9003381968,2,1,2,2,1,-1,-1,2,37,"TC",1,17
"173794","48055374-1",65,2.8232335717,2,1,2,2,1,1,-1,2,46,"TC",2,18
"173840","48064303-1",44,1.9877512416,2,1,2,2,1,-1,-1,2,59,"S",1,17
"173851","48067890-2",79,9.1624225079,2,1,2,2,1,-1,-1,2,48,"TC",2,16
"173893","48074366-2",6,23.119936179,2,1,2,2,1,-1,-1,2,48,"TC",2,12
"173902","48076249-1",35,3.2947545313,2,1,2,2,1,-1,-1,2,83,"C",1,8
"173911","48078636-1",65,9.100449052,2,7,2,2,2,-1,-1,2,19,"S",2,9
"173920","48079642-1",80,0.938266224,2,1,2,2,1,3,-1,2,49,"S",4,17
"173922","48079642-3",80,4.6165324566,2,1,2,2,1,-1,-1,1,19,"S",4,17
"173923","48079642-4",80,2.4758493214,2,1,2,2,1,-1,-1,1,18,"S",4,17
"173952","48084301-2",6,6.4220948184,2,1,2,2,1,1,-1,2,68,"S",1,18
"173978","48087085-1",78,0.7754920584,2,1,2,2,1,3,-1,1,73,"TC",1,5
"173980","48087393-1",26,3.0441269538,2,1,2,2,1,2,-1,2,63,"TC",2,3
"174002","48089708-3",30,10.649736117,2,2,2,2,1,3,-1,1,21,"C",2,17
"174008","48090311-1",63,0.3843343544,2,1,2,-1,1,3,-1,2,50,"TC",2,4
"174014","48090825-3",25,7.4388923489,2,1,2,2,1,3,-1,1,18,"TC",3,8
"174015","48091206-1",41,7.66255507,2,1,2,2,1,-1,-1,1,65,"C",2,8
"174027","48094010-1",28,8.9850492717,2,1,2,2,1,-1,-1,2,26,"U",2,10
"174036","48094412-2",15,1.1135145331,2,1,2,2,1,-1,-1,2,74,"TC",1,15
"174041","48094690-3",52,4.2524169075,2,1,2,2,1,-1,-1,1,17,"S",3,17
"174044","48095026-2",22,0.4938439258,2,1,2,1,1,2,-1,1,61,"TC",2,10
"174060","48098269-1",96,6.9201796114,2,1,2,2,1,-1,-1,2,47,"S",1,18
"174062","48098326-1",88,10.763883158,2,1,2,2,1,-1,-1,2,70,"TC",1,3
"174067","48098755-2",15,23.723493839,2,1,2,2,1,3,-1,2,36,"TC",2,17
"174070","48100779-1",19,6.8526603563,2,1,2,2,1,3,-1,2,43,"TC",2,-8
"174085","48102988-2",10,16.639368683,2,1,2,2,1,-1,-1,2,20,"U",2,6
"174107","48109231-1",73,9.682249254,2,1,2,2,1,-1,-1,2,64,"TC",3,12
"174109","48109231-3",73,16.437738091,2,1,2,2,1,2,-1,2,36,"TC",3,12
"174122","48111319-1",86,3.5620735124,2,1,2,2,1,-1,-1,2,56,"U",1,18
"174135","48114712-1",5,9.6224219755,2,1,2,2,2,3,-1,2,70,"TC",1,2
"174146","48117795-3",24,0.2298865723,2,97,2,2,1,-1,-1,2,22,"C",1,6
"174152","48118822-1",33,7.3533798027,2,7,2,2,1,3,-1,1,70,"S",1,9
"174162","48119977-3",47,0.5948866636,2,1,2,2,2,-1,-1,1,19,"C",3,18
"174183","48122306-3",45,1.5047889363,2,1,2,2,1,2,-1,2,17,"TC",3,18
